source,organization,title,description
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Organization: ICAR Labels: C6. Major Farming Situation/Land Situation: Upland Less rainfall, shallow depth, light textured sandy and acidic soil. Normal Crop/cropping system Upland Rice, Pigeonpea + Sorghum, Pigeonpea, Maize, Agricultural Resilience, Crop Diversification and Adaptive Farming Practices, Rice, Pigeonpea, Maize, Pigeonpea + Maize, Pigeonpea + Sorghum Title: C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought Description: Suggested Contingency measures: Change in crop/cropping system: Discard Rice Crop Sole crop: Raised bed or ridge and furrow method: Niger, Horsegram, Sorghum, Blackgram, Soybean, Finger millet, Pigeonpea, Lady's finger, Maize Intercrop: Pigeonpea + Horsegram (1:2), Pigeonpea + Maize (1:1) Horticulture crop: Vegetable -Lady's Finger, Ridge Gourd, Bottle Gourd, Cowpea Fodder Crop: Deenanath grass, Guinea grass, Sadabahar, Stylo hemata, Chara badam, Anjan grass, Hybrid napier, Cactus, Sweet Sorghum Variety: Niger- Birsa niger 1, 2 and 3 (95-105), Horsegram- Birsa kulthi1 (90-95), Sorghum- CSV 20-110-20, MP chari, Blackgram- Birsa urd 1 (75-80), PU 19/31/35 (70-75) Soybean- R 518 (110), JS 9752 (100), RKS 18, RAUS 5, Finger millet- A 404, BM 2, BM 3 (BBM 10)"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Pigeonpea- Birsa Arhar (200-220), Asha (200-220), Lady's finger- Varsa uphar, Hybrid- Sonal, Sarika, Maize- Birsa makka (Vikash) 2 (75-80), Pusa HM 9(AQH 9), KDMH, P3544, LG 32-81 -Yuvral gold (80-85), Fodder crop: Sorghum-HC-171, PSC-1, Pant Chari-5, Pant Chari-6 and Sorghum Sudan hybrid. Agronomic Measures: Top dressing of urea and DAP after receipt of the rain for all crops. Lime or dolomite (3-5 q/ha) sulphur and phosphogypsum (30 Kg/ha) with compost application few days before sowing. Leguminous/pulse crops may be included in the cropping system in order to improve the soil fertility. Apply Borax @ 10-15 kg/ha. Replace the crops with short duration high yielding low water requiring crops like: Greengram, Blackgram, Soybean, Seasame, Horsegram, Niger, Cowpea, Fodder maize, Fodder cowpea, Fodder sorghum, Fodder pearl millet, Sweet potato, Gundli, Guarfalli after receiving the downpour. Follow mulch after cultural operations to control the weeds in vegetables. For in-situ moisture conservation in vegetables, 15-20 DAS follow intercultural operations by making ridges"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Foliar application of 2 % DAP or 0.5 to 1 % potassium chloride (KCI) + 0.3 % Boric acid or 2% urea at pre-flowering and flowering stage in pulses and vegetables. 2 % DAP spray for pulses. Use antitranspirants: Stomatal closure (Growth hormones like ABA, Ethrel, TIBA, succinic acid, ascorbic acid and Cycocel (CCC)), Reflectant (Calcium bicarbonate, Lime water) Thin film (Hexadecanol (Higher alcohols) Cetyl alcohol, Methanol). Acidic soils should be reclaimed by application of soil ameliorants. Follow integrated pest management. Weed control by applying pre-emergence 5-6 DAS (Pendimithilin) or Post-emergence 18-28 DAS (Bispyribac). Pest and disease management: Maize- Stem borer Monocrotophos @ 1ml/lt. water; Pigeonpea-leaf folder- Methyl demoton @ 1.5 ml/lt.water; Blackgram and Greengram- Leaf minor- Monocrotophos @ 1ml/lt. water, Mosaic- Methyl Demoton @ 1.5 ml/lt. water; Soybean- Cercospora leaf spot- Indofil M 45 1 ml/ lt. water; Finger millet- Leaf/finger/neck and collar blast- Tricyclazole @ 6 gm/10 lt. water; vegetables- Nursery management- Application of carbofuron 3G @ 3 gm/m2 before 10 days of transplanting followed by application of Tricoderma along with half rotten cow dung @ 1 kg Trichoderma in 100 kg cow dung (20 days staying period required for cow dung treated with Trichoderma), rainy potato-Ridomyl MZ @ 1-2 gm/lt. water. Remarks on Implementation: A special programme is needed to be launched in such areas to motivate the farmers to adopt improved technology for stress management through ATMAs, KVKs, Govt Dept., NGOs and others. Soybean and fodder crops may be promoted. Promote Knowingness about climate resilient agriculture at district, block, panchayat and village level through involvement of KVK's, ATMAs, DAO, NGO's and other State Agril. Govt line departments. Promote for double their income by curtailing cost of cultivation by introduction of early duration crops variety. Campaign for Awareness programme about crop-weather insurance"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,A Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"Suggested Contingency measures: Discard Rice crop Sole crop; change in crop/cropping system to Pigeonpea, Sorghum, Finger millet, Soybean, Blackgram, Greengram, Lady's finger. Intercropping: Pigeonpea + Maize (1:1), Pigeonpea + Lady's finger (1:2) or Greengram (1:2), Maize + creeper vegetables (Sponge gourd) (1:2), Pigeonpea + Sorghum (1:1). Horticulture Crop: Vegetable including Radish, Early Cabbage, Cauliflower, French bean, Cowpea. Recommended varieties for different crops are provided: Pigeonpea – Birsa Arhar, Narendra Arhar 1 and 2, Asha, ICPH 2671; Sorghum – CSV 20-110-20, MP chari, CSV 1616; Finger millet – A 404, BM 2, BM 3, GPU 28, 67, VL 149; Soybean – R 518, JS 9752, Birsa soybean 1 black, JS 335 Birsa safed soybean 2, RKS 18, RAUS 5; Blackgram – Birsa urd 1, PU 19/31/35, WBU 109, Uttara; Greengram – HUM 16, IPM-02-03-60-65, SML 668; Lady's finger – Pusa A 4, Arka anamika, Varsa uphar, Hybrid- Sonal, Sarika ."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,A Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"Agronomic measures: Summer deep ploughing with Mouldboard or disc; Dobha construction for in-situ rainwater conservation; Line sowing in upland rice areas for desired plant population to facilitate weed control and intercultural operations; Zero tillage practices; Proper seed rate – full for sole crops and reduced by 30-40% for intercropping; Recommend dose of fertilizers (RDF) with a reduction by 1/3rd for intercropping; Weed control – Atrazine for Maize, Imizathyper or Pendimithilin for Pulses, Flucloralin or Basalin for Soybean, applicable for vegetables; Bund construction for unbunded uplands; Use well-rotted FYM along with 1/4th N + full basal P and K for all crops for vigorous vegetable seedling growth; Ridge and furrow method for moisture conservation in cereals, pulses, and vegetables; Employ inter-cropping to mitigate occasional drought; Apply Sulphur @ 20kg/ha for pulses and oilseeds; Use phosphogypsum @ 120 kg/ha for soil application; Lime or dolomite application in furrow @ 3-5 q/ha at sowing for pulses and oilseeds; Applying carbofuran @ 3gm/m2 or phorate 10 G @ 1gm/m2 or neem cake @ 50 kg/ha in vegetable nurseries; Treat leguminous seeds with Bavistin, Imidacloprid, or Chlorpyriphos, Rhizobium and PSB."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,A Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"Orchard Management Tips: Cover 15-20% upland area with orchard; Mango-based orchard varieties include Amrapali, Mallika, and Sunder langra, with recommended spacings of 5m x 5m and 10m x 10m for different combinations. Intercropping options include Mango + Papaya + Blackgram/Chickpea, Mango + Custard apple + Blackgram/Chickpea, Mango + Guava + Blackgram/Chickpea, and others. For Guava-based orchards: Varieties are Arka Mridula, Pant Prabhat, Allahabad safeda, L 49 with spacing 5m x 5m. Intercrops for Ber based orchard include Custard apple + Sesame/Blackgram- Toria/Linseed/Safflower. Important notes: Avoid creeper/climber vegetables, field crops over 1 meter like Pigeonpea, Maize, Sorghum; start shade-loving crops after 3-5 years for shade management. For citrus orchards, avoid aphid-susceptible crops and manage aphids in mustard crops; implement cashewnut based orchards in Kolhan region; grow Cassava for pig fodder; Moringa usable as fodder or vegetable on upland field bunds as windbreaks or shelter belts, with annual pruning for a bushy appearance."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,B. Monsoon/Weather Situation: 4 Weeks Delay (Onset: 2nd Week of July) - Early Season Drought,"ICAR has outlined various agricultural adaptation strategies for lowland farming situations characterized by less rainfall and heavy textured clay loam soils. The normal crops and cropping systems include rice, pigeonpea, and maize, with potential combinations like pigeonpea + maize, pigeonpea + sorghum, and rice-vegetable systems. In cases of a delayed monsoon, particularly a 4-week delay leading to early season drought (Onset: 2nd Week of July), specific contingency measures are suggested for changing crop varieties. Long-duration rice varieties like Swarna, BPT 5204, and Rajshree should be replaced with medium-duration varieties such as Shabhagi Dhan, IR 64-Drt 1, and Abhishek (120 days). Transplanting hybrid rice varieties like Arize 6444 (Gold) and Arize Tej (Gold) is also recommended. Additionally, the use of cucurbit vegetables like bitter gourd, bottle gourd, sponge gourd, ridge gourd, and red pumpkin is suggested."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,B. Monsoon/Weather Situation: 4 Weeks Delay (Onset: 2nd Week of July) - Early Season Drought,"Various agronomic practices are advised to manage early season drought and improve crop resilience. Staggered nursery raising by MAT/DAPOG method, using early to mid-duration rice varieties, and managing nurseries with 1 kg N, 1 kg P2O5, and 1 kg K2O for 100 m2, and implementing a seed rate of 80-100 kg/ha for improved varieties and 15 kg/ha for hybrids are crucial. Topdressing should occur 10-15 days after sowing. In nurseries, carbofuron 3G at 300 gm/100 m2 should be applied 10 days before uprooting the seedlings. Spacing for Direct Seeded Rice (DSR) should be 20 cm between rows, while transplanting spacing should be 20-25 x 15-25 cm."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,B. Monsoon/Weather Situation: 4 Weeks Delay (Onset: 2nd Week of July) - Early Season Drought,"Specific fertilizer doses are recommended for optimal crop yields: 80:40:20 kg/ha N:P2O5:K2O for improved varieties and 120-150 kg N, 60 kg P2O5, and 40 kg K2O/ha for hybrids. For DSR, farmers should use plastic drum seeders and post-emergence herbicides. Effective pest and disease management includes using carbofuron 3G for stem borers, monocrotophos for gall midge, quinolphos for gundhi bug, leaf folder, and brown planthopper (BPH), and propiconazole or Nativo for false smut. Blast can be managed with Beam or Tricyclazole. Implementing these measures requires raising awareness of the MAT/DAPOG method, providing plastic drum seeders, climate-smart agriculture education, and timely supply of improved and hybrid seeds."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,CONTINGENCY PLANS FOR RABI,"Cropping system strategies involve Rice-Wheat, Rice-Chickpea, Rice-Lentil, Rice-Linseed, Rice-Potato, and Rice-Vegetable sequences. In irrigated fields, zero tillage can be employed for Wheat, along with cultivating Mustard, Rabi Maize, Potato, and various vegetables (Tomato, Chili, Brinjal, Capsicum, Cabbage, Cauliflower, Broccoli, Vegetable pea, French bean, Radish, Coriander, Amaranthus, Spinach). For rainfed fields with zero tillage, Chickpea, Lentil, Linseed, and Lathyrus are recommended, including practices like Paira cropping with Linseed and Lathyrus. The sowing windows are: Wheat (Timely: 3rd week of October to 4th week of November; Late: 1st week of December to 2nd week of December), Mustard (2nd week of October to 1st week of November), Rabi Maize (2nd week of October to 2nd week of November), Potato (4th week of October to 2nd week of November), Linseed (2nd week of October to 2nd week of November), Chickpea (2nd week of October to 1st week of November), Lentil (3rd week of October to 2nd week of November), Vegetables (1st week of October to 4th week of November), and Lathyrus (2nd week of October to 4th week of November)."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,CONTINGENCY PLANS FOR RABI,"Preferred crop varieties include: Wheat varieties for timely (K 8027, HD 2967, K 1006, K 307, HDR 77, HD 2733) and late sowing (HD 3059, PBW 373, DBW 14, 39, HI 1563); Mustard varieties (Pusa mahek, Pusa mustard 25, NRCHB 101, Bharat sarson 1, Pusa 28, Pusa 30); Rabi Maize varieties (BVM 2, Malvia Makka 2, HQPM 5); Potato varieties (Kufri Surya, Kufri Arun, Kufri Sutlej, Kufri Laukar, Kufri Lalima); Linseed varieties (Sharda, Priyam, Divya); Chickpea varieties (Jaki 9218, Kak 2, Birsa Chana 3); Lentil varieties (HUL 57, WBL 77, KLS 218); and Lathyrus varieties (Maha Teora)."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,CONTINGENCY PLANS FOR RABI,"Agronomic management practices include seed treatment with Azotobacter, Azosprillium, and soil application for proper crop establishment. Timely sowing, proper seed placement, and correct seed rate with optimal crop geometry ensure better plant population. Deep summer ploughing and efficient water management, with irrigation only at critical stages, are essential. Pre-emergence weedicide application, and following RDF, INM, and IPM practices contribute to crop resilience. Specific pest and disease management includes protecting Mustard from Painted Bud, Aphid, and white rust; Potato from early/late blight, leaf curl, and grub; Chickpea from Collar rot, Dry root rot, Pod borer; and Lentil from Wilt. Adjust irrigation schedules and apply necessary foliar sprays for optimal growth. Ensure proper spacing and regular monitoring to prevent frost damage in crops like Potato. Increase nitrogen fertilization by 25% for dual-purpose Linseed (seed and flax). For climate resilience, timely field activities and judicious resource use like water and fertilizers are critical."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Context: ICAR
Major Farming Situation/Land Situation: Upland High rainfall, shallow red sandy soils.
Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought
Normal Crop/cropping system: Upland Rice, Finger millet, Pigeonpea + Sorghum, Pigeonpea + Maize.
Suggested Contingency measures: Change in crop/cropping system.
Recommended Crops: Discard Rice Crop; Sole crop Pigeonpea (early maturity) Soybean, Gundli, Kodo, Sawan, Finger millet, Blackgram, Greengram, Sorghum.
Recommended Intercropping Systems: Pigeonpea + Lady's Finger (1:2), Lady's Finger + Blackgram (1:2) , Maize + Blackgram (1:2), Maize + Cowpea (1:2), Maize + Lady's Finger (1:2), Pigeonpea + Maize (1:1), Pigeonpea + Sorghum (1:1).
Recommended Horticulture Crops: Vegetable - Lady's Finger, Ridge Gourd, Bottle Gourd, Cowpea.
Recommended Fodder Crops: Chara badam/Anjan grass/Hybrid napier/Cactus/Sweet Sorghum Variety.
Recommended Crop Varieties: Pigeonpea- Birsa Arhar (200-220 days), Asha (200-220 days), ICPH 2671 (200 days); Soybean- R 518 (110 days), JS 9752 (100 days), Birsa soybean 1 black (120-125 days), JS 335, Birsa safed soybean 2 (105-110 days), RKS 18, RAUS 5;"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Recommended Crop Varieties continued: Finger millet- A 404, BM 2, BM 3 (BBM 10), GPU 28, 67, VL 149; Greengram- HUM 16, IPM-02-03-60-65, SML 668 (summer); Blackgram- Birsa urd 1 (75-80 days), PU 19/31/35 (70-75 days), WBU 109 (70-75 days), Uttara (75-80 small grain); Sorghum- CSV 20-110-20, MP cheri, CSV 1616. Vegetable Crops: Lady's Finger- Pusa A 4, Arka anamika, Varsa uphar, Hybrid- Sonal, Sarika. Cucurbits: Ridge gourd- Swarn manjari, Swarn uphar, Swarn baha, Pusa nasdar, Satputia; Bottle gourd- Arka bahar, Pusa samar, Pusa Naveen, PusaMeghdoot, Coimbtur long green, local, Arka harit; Cowpea- bushy- CP 4, Arka garima, Pusa komal, Pusa barsati Creeper- Birsa sweta, Swarna sweta, Swarn harit. Fodder crop: Sorghum-PC-1, PC-6, PC-23, HC-136, HC-171, PSC-1, Pant Chari-5, Pant Chari-6 and Sorghum Sudan hybrid."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Agronomic Measures: Top dressing of urea and DAP after receipt of the rain for all crops. Lime or dolomite (3-5 q/ha) sulphur and phosphogypsum (30 Kg/ha) with compost application few days before sowing. Leguminous/pulse crops may be included in the cropping system in order to improve the soil fertility. Apply Borax @ 10-15 kg/ha. Replace the crops with short duration high yielding low water requiring crops like: Greengram, Blackgram, Soybean, Seasame, Horsegram, Niger, Cowpea, Fodder maize, Fodder cowpea, Fodder sorghum, Fodder pearl millet, Sweet potato, Gundli, Guarfalli after receiving the downpour. Follow mulch after cultural operations to control the weeds in vegetables. For in-situ moisture conservation in vegetables, 15-20 DAS follow intercultural operations by making ridges. Foliar application of 2 % DAP or 0.5 to 1 % potassium chloride (KCI) + 0.3 % Boric acid or 2% urea at pre-flowering and flowering stage in pulses and vegetables. 2 % DAP spray for pulses. Use antitranspirants for stomatal closure (Growth hormones like ABA, Ethrel, TIBA, succinic acid, ascorbic acid and Cycocel (CCC), Reflectant (Calcium bicarbonate, Lime water), Thin film (Hexadecanol (Higher alcohols) Cetyl alcohol, Methanol)."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,C. Monsoon/Weather Situation: 6 Weeks Delay (Onset: 6th Week of July) - Early Season Drought,"Agronomic Measures continued: Acidic soils should be reclaimed by application of soil ameliorants. Follow integrated pest management. Weed control by applying pre-emergence 5-6 DAS (Pendimithilin) or Post-emergence 18-28 DAS (Bispyribac). Pest and disease management: Maize- Stem borer Monocrotophos @ 1ml/lt. water; Pigeonpea- leaf folder- Methyl demoton @ 1.5 ml/lt. water; Blackgram and Greengram- Leaf minor- Monocrotophos @ 1ml/lt. water, Mosaic- Methyl Demoton @ 1.5 ml/lt water; Soybean- Cercospora leaf spot- Indofil M 45 1 ml/ lt. water; Finger millet- Leaf/finger/neck and collar blast- Tricyclazole @ 6 gm/10 lt. water; Vegetables- Nursery management- Application of carbofuron 3G @ 3 gm/m2 before 10 days of transplanting followed by application of Tricoderma along with half rotten cow dung @ 1 kg Trichoderma in 100 kg cow dung (20 days staying period required for cow dung treated with Trichoderma); Rainy potato-Ridomyl MZ @ 1-2 gm/lt. water. Awareness Programs: A special programme is needed to be launched in such areas to motivate the farmers to adopt improved technology for stress management through ATMAs, KVKs, Govt Dept., NGOs and others. Soybean and fodder crops may be promoted. Promote climate resilient agriculture through KVK's, ATMAs, DAO, NGO's and other State Agril. Govt line departments. Awareness of mechanization and supply of Mouldboard and disc chisel/harrow through govt. scheme on subsidized way."
"Understanding Climate Change
 Adaptation for Smallholders/Marginal
 Farmers",UNDP,"Climate Change Impacts on Potato Cultivation, Potato Value Chain and Adaptations by Various Stakeholders","Potato is the fourth most important food crop after rice, wheat, and maize, and the most important vegetable crop grown in the Indo-Gangetic Plains (IGP). India is the second largest producer of potato after China. Major potato growing states in India include Himachal Pradesh, Punjab, Uttar Pradesh, Madhya Pradesh, Gujarat, Maharashtra, Karnataka, West Bengal, Bihar, and Assam. The Indian potato belt stretches from Punjab in the North West to West Bengal in East India. Uttar Pradesh, West Bengal, Bihar, and Punjab together account for about 86 percent of India’s potato production. Uttar Pradesh is the largest producer of potatoes in India."
"Understanding Climate Change
 Adaptation for Smallholders/Marginal
 Farmers",UNDP,"Climate Change Impacts on Potato Cultivation, Potato Value Chain and Adaptations by Various Stakeholders","Potato is usually sown in October-November and harvested by February-March. Some farmers grow it earlier to take advantage of high prices, making the crop ready even a month ahead of schedule. Potato is a cool season crop and tolerates frost moderately. The ideal temperature for its growth during the initial stage is around 25°C. Deep, well-drained, and friable soils with good organic matter are ideal for its cultivation. In India, over 80 percent of the potato crop is grown in the winter season (rabi) under irrigation from October to March. Rainy season (kharif) production occurs in Karnataka, Maharashtra, Himachal Pradesh, Jammu, and Kashmir, and Uttaranchal."
"Understanding Climate Change
 Adaptation for Smallholders/Marginal
 Farmers",UNDP,"Climate Change Impacts on Potato Cultivation, Potato Value Chain and Adaptations by Various Stakeholders","Potato is one of the most widely consumed vegetables in Bihar and Uttar Pradesh, primarily used for table purposes, followed by use as seed. As no processing takes place for these uses, the value chain is short, involving producers, aggregators/traders, cold storage owners, wholesale traders, and retail traders. The longer value chain for potato is for processed products like potato chips and fries, which account for less than 10 percent of the total potato produced in the study area. As a perishable commodity, potato harvesting time coincides with the rise in temperature in the Indo-Gangetic Plains."
"Resource Conservation
 Technology in Pulse Based
 Cropping Systems",ICAR,Farm Mechanization and Pulses,"The success of conservation agriculture in rainfed areas depends on two critical elements, namely residue retention on the surface and weed control. Residues are generally used as fodder in drylands, thus necessitating the determination of the minimum amount of residue that can be retained without affecting the crop-livestock system. Initially, emphasis may be given to crops whose residues are not used as fodder. More research is needed on weed management under minimum tillage from a cropping system perspective. Additionally, the identification of alternative sources of fodder for livestock is crucial to spare crop residue for conservation farming."
"Resource Conservation
 Technology in Pulse Based
 Cropping Systems",ICAR,Farm Mechanization and Pulses,"There is a need to identify critical thresholds of tillage for various rainfall, soil, and cropping systems to ensure the main objectives of rainwater conservation are not compromised. This involves balancing the need for conserving soil and capturing rainwater in the profile. Furthermore, farm implements are required for simultaneous seed and fertilizer placement to ensure optimum plant stands and early seedling vigor in rainfed crops under minimum tillage. Control of termites is also essential to enhance the value of residue left on the surface during the long interval period between two crops."
"Resource Conservation
 Technology in Pulse Based
 Cropping Systems",ICAR,Farm Mechanization and Pulses,"Scarce crop residue leads to strong competition between soil and animals, particularly in prolonged dry seasons where the demand for residue is higher. No farmer will sacrifice residue in dryland areas. In contrast, in irrigated regions like the Indo-Gangetic plains, higher production leads to more crops per year, thus reducing residue competition. Managing feed supplies over the transition period from conventional agriculture to a conservation agriculture (CA) system is also a significant challenge."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,CONTINGENCY PLANS FOR RABI,"Organization: ICAR
Title: CONTINGENCY PLANS FOR RABI
Labels: Contingency measures for Field crops grown with residual moisture under rainfed conditions, Optimal residual moisture, Land type- UPLAND, Crop Cultivation Strategies and Agronomic Practices, Rice
Cropping system: Maize, Finger Millet, Toria, Mustard, Linseed, Vegetable
Crop names: Toria, Mustard, Linseed, Vegetables (Cauliflower, Tomato, Cabbage, Pea, Radish, Coriander, Amaranthus, French bean, Carrot, Spinach) using harvested rainwater
Sowing Window: Toria (1st to 4th week of September), Mustard (1st to 4th week of October), Linseed (4th week of October to 2nd week of November), Vegetables (2nd week of September to 4th week of October)
Variety: Toria-PT 203, Panchali; Mustard- Pusa Mahek, Pusa Mustard 25, NRCHB 101, Bharat Sarson 1, Pusa 28, 30; Linseed- Sharda, Priyam, Divya"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,CONTINGENCY PLANS FOR RABI,"Rainwater harvesting and recycling
Agronomic management practices:
1. Deepening of water storing structures (shallow and deep) in April and May
2. Deep summer plowing in April and May
3. Strengthening and raising of field bunds in April and May
4. Sowing in the defined window for better establishment
5. Seed placement at proper depth for better germination and optimum seed rate with right crop geometry for better crop stand
6. Application of Lime or Dolomite (3-5 q/ha) in soil
7. Soil application of Sulphur (20 kg/ha) and Boron (1kg/ha) in oilseed, pulses, and vegetables
8. Foliar spray of Urea (2%) at flower initiation and pod formation stage in oilseed and pulses
9. Seed priming (warm water for 4-6 hrs) before sowing
10. Seed treatment with fungicide-insecticide-rhizobium
11. Irrigation only at critical stages
12. Pre and post-emergence weedicide application
13. Hoeing after manual weeding
14. Follow RDF (Recommended Dose of Fertilizers), INM (Integrated Nutrient Management), and IPM (Integrated Pest Management)
15. Use of antitranspirants, reflectants, and mulches for water use efficiency
16. Regular monitoring of fields for disease and insect attack
17. Use pheromone traps and attractants
18. Promote protected vegetable cultivation under naturally ventilated polyhouse and net house for climate-resilience"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,CONTINGENCY PLANS FOR RABI,"Crop-specific management:
1. Mustard/Toria: Seed treatment and proper seed rate for optimum crop stand; thinning and weeding at 30-35 DAS followed by irrigation; irrigate at three critical stages: 30-35 DAS, before flowering, and capsule/pod formation; apply second dose of Urea before flowering; manage painted bug, aphid, and powdery mildew
2. Linseed: Seed and soil treatment for disease and termite management; seed placement at proper depth for better germination and optimum seed rate with right crop geometry for better establishment; pre and post-emergence weedicide application; one hand weeding followed by one hoeing for weed management between 20 and 45 DAS; irrigate at critical stages (before flowering and at pod formation); increase Nitrogen fertilizer dose by 25 percent for dual purpose (seed and flax); follow RDF, INM, and IPM; deep summer plowing; proper water management; precautions for pod borer, bud fly insect, and powdery mildew disease management"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,A Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"Suggested Contingency measures a) Change in crop/cropping system Discard rice Crop Sole crop Pigeonpea, Finger millet, Gundli, Kodo, Sawan, Groundnut, Soybean, Maize, Blackgram, Greengram, Sorghum, Cowpea, lady's Finger Intercrop Pigeonpea + Lady's finger (1:2), Pigeonpea + Sorghum (1:1), Pigeonpea + Maize (1:1) Pigeonpea + Groundnut(1:2), Maize + lady's finger (1:2), Maize + Cowpea (1:2) Horticulture Crop Vegetable : Tomato/ Brinjal/French bean/ Cucumber/ Radish Variety Pigeonpea- Birsa Arhar (200-220), Narendra Arhar 1, ICPH 2671 (200) Finger millet- BM 2, BM 3 (BBM 10), VL 149 Groundnut- Birsa mungfali 3, 4, Girnar 3 Soybean- R 518 (110), JS 9752 (100), Birsa soybean 1 black(120-125), JS 335 Birsa safed soybean 2 (105-110), RKS 18, RAUS 5 Maize- Birsa makka (Vikash) 2 (75-80), HQPM 1 (90-100), Shaktiman 1(105-1010), Pusa HM 9(AQH 9), KDMH, P3544, LG 32-81 -Yuvral gold (80-85), VMH 4106 (Sweet corn hybrid), Malvia makka 2 (90), Kanchan(K 25) 100-110 , Vivek hybrid 9 (80) Blackgram- Birsa urd 1 (75-80), PU 19/31/35 (70-75), WBU 109 (70-75), Uttara (75-80 small grain)"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Kolhan_Division,ICAR,A Monsoon/Weather Situation: 2 Weeks Delay (Onset: 4th Week of June) - Early Season Drought,"Greengram- HUM 16, IPM-02-03-60-65, SML 668 (summer) Sorghum- CSV 20-110-20, MP cheri, CSV 1616 Cowpea-rainy - Birsa sweta(80-90), Swarn sweta(80-90), Swarn harit (80-90) Lady's finger- Pusa A 4, Arka anamika, Varsa uphar, Hybrid- Sonal, Sarika Vegetable crop Tomato- Swarn lalima, BT 12, Swarn vaibhaw, Samrat, Hybrid- Swarn sampada, Swarn samridih, Pusa hybrid 1 Suraksha Brinjal- Pusa purple long, Pusa purple round, Pusa purple cluster, Mukta keshi, Banaras giant, Swarn pratibha, Swarn mani, Swarn shayamali, hybrid-Swarn shakti , Vijay, Swarna sampada 6 Frenchbean- Bushy- Pant anupma, Swarna priya, Arka Komal, Stringless, Creeper- Kentuky wonder, Birsa priya, Swarna lata Cucumber-Japani long green, Pusa sanyog, Balamkhira, Puna khira, Swarn ageti Radish- Pusa chetki (summer), Pusa deshi, Kashi hansh, Jaunpur/ Pusa himani, Japanese white, Pusa roshni"
